id,name_jp
UrbanPlanningArea,都市計画区域
QuasiUrbanPlanningArea,準都市計画区域
AreaClassification,区域区分
DistrictsAndZones,地域地区
UseDistrict,用途地域
SpecialUseDistrict,特別用途地区
SpecialUseRestrictionDistrict,特定用途制限地域
ExceptionalFloorAreaRateDistrict,特例容積率適用地区
HighRiseResidentialAttractionDistrict,高層住居誘導地区
HeightControlDistrict,高度地区
HighLevelUseDistrict,高度利用地区
SpecifiedBlock,特定街区
SpecialUrbanRenaissanceDistrict,都市再生特別地区
HousingControlArea,居住調整地域
ResidentialEnvironmentImprovementDistrict,居住環境向上用途誘導地区
SpecialUseAttractionDistrict,特定用途誘導地区
FirePreventionDistrict,防火地域又は準防火地域
SpecifiedDisasterPreventionBlockImprovementZone,特定防災街区整備地区
LandscapeZone,景観地区
ScenicDistrict,風致地区
ParkingPlaceDevelopmentZone,駐車場整備地区
PortZone,臨港地区
SpecialZoneForPreservationOfHistoricalLandscape,歴史的風土特別保存地区
ZoneForPreservationOfHistoricalLandscape,第一種歴史的風土保存地区又は第二種歴史的風土保存地区
GreenSpaceConservationDistrict,緑地保全地域
SpecialGreenSpaceConservationDistrict,特別緑地保全地域
TreePlantingDistrict,緑化地域
DistributionBusinessZone,流通業務地区
ProductiveGreenZone,生産緑地地区
ConservationZoneForClustersOfTraditionalStructures,伝統的建造物群保存地区
AircraftNoiseControlZone,航空機騒音障害防止地区又は航空機騒音障害防止特別地区
ProjectPromotionArea,促進区域
UrbanRedevelopmentPromotionArea,市街地再開発促進区域
LandReadjustmentPromotionArea,土地区画整理促進区域
ResidentialBlockConstructionPromotionAreas,住宅街区整備促進区域
LandReadjustmentPromotionAreasForCoreBusinessUrbanDevelopment,拠点業務市街地整備土地区画整理促進区域
UnusedLandUsePromotionArea,遊休土地転換利用促進地区
UrbanDisasterRecoveryPromotionArea,被災市街地復興推進地域
UrbanFacility,都市施設
TrafficFacility,交通施設
StructureDetails,構造の内訳
OpenSpaceForPublicUse,公共空地
SupplyFacility,供給施設
TreatmentFacility,処理施設
WaterWay,水路
Waterway,水路
EducationalAndCulturalFacility,教育文化施設
MedicalFacility,医療施設
SocialWelfareFacility,社会福祉施設
MarketsSlaughterhousesCrematoria,市場、と畜場、火葬場
CollectiveHousingFacilities,一団地の住宅施設
CollectiveGovernmentAndPublicOfficeFacilities,一団地の官公庁施設
DistributionBusinessPark,流通業務団地
CollectiveFacilitiesForTsunamiDisasterPrevention,一団地の津波防災拠点市街地形成施設
CollectiveFacilitiesForReconstructionAndRevitalization,一団地の復興再生拠点市街地形成施設
CollectiveFacilitiesForReconstruction,一団地の復興拠点市街地形成施設
CollectiveUrbanDisasterPreventionFacilities,一団地の都市安全確保拠点施設
UrbanFacilityStipulatedByCabinetOrder,政令で定める都市施設
TelecommunicationFacility,電気通信施設
WindProtectionFacility,防風施設
FireProtectionFacility,防火施設
TideFacility,防潮施設
FloodPreventionFacility,防水施設
SnowProtectionFacility,防雪施設
SandControlFacility,防砂施設
UrbanDevelopmentProject,市街地開発事業
LandReadjustmentProject,土地区画整理事業
NewHousingAndUrbanDevelopmentProject,新住宅市街地開発事業
IndustrialParkDevelopmentProject,工業団地造成事業
UrbanRedevelopmentProject,市街地再開発事業
NewUrbanInfrastructureProject,新都市基盤整備事業
ResidentialBlockConstructionProject,住宅街区整備事業
DisasterPreventionBlockImprovementProject,防災街区整備事業
UrbanRenewalProject,市街地改造事業
ScheduledAreaForUrbanDevelopmentProject,予定区域
ScheduledAreaForNewHousingAndUrbanDevelopmentProjects,新住宅市街地開発事業の予定区域
ScheduledAreaForIndustrialParkDevelopmentProjects,工業団地造成事業の予定区域
ScheduledAreaForNewUrbanInfrastructureProjects,新都市基盤整備事業の予定区域
ScheduledAreaForCollectiveHousingFacilities,一団地の住宅施設の予定区域
ScheduledAreaForCollectiveGovernmentAndPublicOfficeFacilities,一団地の官公庁施設の予定区域
ScheduledAreaForDistributionBusinessPark,流通業務団地の予定区域
DistrictPlan,地区計画
RoadsideDistrictPlan,沿道地区計画
RuralDistrictPlan,集落地区計画
HistoricSceneryMaintenanceAndImprovementDistrictPlan,歴史的風致維持向上地区計画
DisasterPreventionBlockImprovementZonePlan,防災街区整備地区計画
DistrictDevelopmentPlan,地区整備計画
SpecifiedBuildingZoneImprovementPlan,特定建築物地区整備計画
DistrictImprovementPlanForDisasterPreventionBlockImprovementZonePlan,防災街区整備地区整備計画
RoadsideDistrictImprovementPlan,沿道地区整備計画
RuralDistrictImprovementPlan,集落地区整備計画
DistrictImprovementPlanForHistoricSceneryMaintenanceAndImprovementDistrict,歴史的風致維持向上地区整備計画
PromotionDistrict,促進区
District,地区
DistrictFacility,地区施設
RoadsideDistrictFacility,沿道地区施設
RuralDistrictFacility,集落地区施設
ZonalDisasterPreventionFacility,地区防災施設
ThreeDimensionalExtent,立体的な範囲
Boundary,境界
