gml:id,ID
bldg:Building,建築物
gml:description,説明
gml:name,名称
gml:boundedBy,範囲
core:creationDate,作成日
core:terminationDate,消滅日
core:relativeToTerrain,地表との関係
core:relativeToWater,水面との関係
bldg:class,分類
bldg:function,機能
bldg:usage,用途
bldg:yearOfConstruction,建築年
bldg:yearOfDemolition,解体年
bldg:roofType,屋根の種別
bldg:measuredHeight,計測高さ
bldg:storeysAboveGround,地上階数
bldg:storeysBelowGround,地下階数
bldg:storeyHeightsAboveGround,地上階高さ
bldg:storeyHeightsBelowGround,地下階高さ
bldg:lod0FootPrint,lod0接地面
bldg:lod0RoofEdge,lod0屋根面
bldg:lod1Solid,lod1立体
bldg:lod2Solid,lod2立体
bldg:outerBuildingInstallation,建物付属物
bldg:boundedBy,境界面
bldg:lod3Solid,lod3立体
bldg:consistsOfBuildingPart,建物部品
bldg:address,住所
uro:buildingIDAttribute,建物識別属性
uro:buildingDetailAttribute,建物利用現況
uro:largeCustomerFacilityAttribute,大規模小売店舗等の立地状況
uro:buildingDisasterRiskAttribute,災害リスク
uro:keyValuePairAttribute,拡張属性
uro:buildingDataQualityAttribute,データ品質
uro:BuildingIDAttribute,建物ID属性
uro:buildingID,建物ID
uro:branchID,建物ID枝番
uro:partID,建築物部分ID
uro:prefecture,都道府県
uro:city,市区町村
uro:BuildingDetailAttribute,建物利用現況
uro:serialNumberOfBuildingCertification,建築確認申請番号
uro:siteArea,敷地面積
uro:totalFloorArea,延床面積
uro:buildingFootprintArea,建築面積
uro:buildingRoofEdgeArea,図形面積
uro:developmentArea,開発面積
uro:buildingStructureType,構造種別
uro:buildingStructureOrgType,構造種別（自治体独自）
uro:fireproofStructureType,耐火構造種別
uro:implementingBody,事業主体
uro:urbanPlanType,都市計画区域
uro:areaClassificationType,区域区分
uro:districtsAndZonesType,地域地区
uro:landUseType,土地利用区分
uro:reference,参照情報
uro:majorUsage,建物利用現況（大分類）
uro:majorUsage2,建物利用現況（大分類2）
uro:orgUsage,建物利用現況（中分類）
uro:orgUsage2,建物利用現況（小分類）
uro:detailedUsage,建物利用現況（詳細分類）
uro:detailedUsage2,建物利用現況（詳細分類2）
uro:detailedUsage3,建物利用現況（詳細分類3）
uro:groundFloorUsage,1階用途
uro:secondFloorUsage,2階（以上）用途
uro:thirdFloorUsage,3階（以上）用途
uro:basementUsage,地下用途
uro:basementFirstUsage,地下1階用途
uro:basementSecondUsage,地下2階用途
uro:vacancy,空き家区分
uro:buildingCoverageRate,建蔽率
uro:floorAreaRate,容積率
uro:specifiedBuildingCoverageRate,指定建蔽率
uro:specifiedFloorAreaRate,指定容積率
uro:standardFloorAreaRate,基準容積率
uro:buildingHeight,建築物の高さ
uro:eaveHeight,軒の高さ
uro:note,備考
uro:surveyYear,調査年
uro:surfeyYear,調査年
uro:LargeCustomerFacilityAttribute,大規模小売店舗等の立地状況
uro:class,分類
uro:name,施設名称
uro:capacity,収容数
uro:owner,所有者名
uro:totalStoreFloorArea,店舗床面積
uro:inauguralDate,開業日（開校日）
uro:keyTenants,核テナント
uro:availability,利用可能性
uro:BuildingRiverFloodingRiskAttribute,洪水浸水リスク
uro:description,設定等名称
uro:rank,浸水ランク
uro:rankOrg,浸水ランク（独自分類）
uro:depth,浸水深
uro:adminType,指定機関
uro:scale,規模
uro:duration,浸水継続時間
uro:BuildingTsunamiRiskAttribute,津波浸水リスク
uro:BuildingHighTideRiskAttribute,高潮浸水リスク
uro:BuildingInlandFloodingRiskAttribute,内水浸水リスク
uro:BuildingLandSlideRiskAttribute,土砂災害リスク
uro:areaType,区域区分
uro:BuildingDataQualityAttribute,データ品質
uro:srcScale,地図情報レベル
uro:geometrySrcDesc,幾何属性作成方法
uro:thematicSrcDesc,主題属性作成方法
uro:appearanceSrcDesc,テクスチャ作成方法
uro:lodType,詳細LOD
uro:lod1HeightType,LOD1の立ち上げに使用する建築物の高さ
uro:KeyValuePairAttribute,拡張属性
uro:codeValue,値
bldg:BuildingPart,建築物部品
bldg:BuildingInstallation,建築物付属物
bldg:lod2Geometry,lod2幾何
bldg:lod3Geometry,lod3幾何
bldg:RoofSurface,屋根
bldg:lod2MultiSurface,lod2面
bldg:lod3MultiSurface,lod3面
bldg:opening,開口部
bldg:WallSurface,壁
bldg:GroundSurface,接地面
bldg:OuterCeilingSurface,屋外天井面
bldg:OuterFloorSurface,屋外床面
bldg:ClosureSurface,閉鎖面
bldg:Window,窓
bldg:Door,扉
frn:CityFurniture,都市設備
frn:class,分類
frn:function,機能
frn:usage,用途
frn:lod1Geometry,lod1幾何
frn:lod2Geometry,lod2幾何
frn:lod3Geometry,lod3幾何
uro:cityFurnitureDetailAttribute,都市設備詳細属性
uro:cityFurnitureDataQualityAttribute,データ品質
uro:facilityType,施設詳細区分
uro:desctiption,施設内容
uro:CityFurnitureDataQualityAttribute,データ品質
luse:LandUse,土地利用
luse:class,土地利用区分
luse:function,機能
luse:usage,用途
luse:lod1MultiSurface,lod1幾何
uro:LandUseDetailAttribute,土地利用現況
uro:LandDetailAttribute,土地利用現況
uro:orgLandUse,土地利用区分（独自分類）
uro:nominalArea,公称面積
uro:ownerType,所有者区分
